gene_symbol	n_variants
RABGEF1P1	5
RBM25-AS1	5
RBMX2P5	5
RGPD3	5
RNASEH1-DT	5
ROCR	5
SALL2	5
SAMMSON	5
SATB1-AS1	5
SDHAP3	5
SDHD	5
SH2B1	5
SHLD2P3	5
SLC12A9	5
SLC16A1-AS1	5
SLC38A10	5
SLC8A1-AS1	5
SMU1	5
SPECC1P1	5
SPTLC1	5
SSTR5-AS1	5
SUCLG2-DT	5
SURF6	5
SYNM-AS1	5
TBX3-AS1	5
TJP1	5
TNPO1-DT	5
TPRXL	5
TRBV6-6	5
TRBV7-4	5
TRBV7-6	5
TTYH1	5
TUBA1B-AS1	5
TUBB2B	5
UBL7-DT	5
UNC93B8	5
VHL	5
WASH9P	5
ZBTB3	5
ZNF468	5
ZNF473CR	5
ZNF551	5
ZSCAN16-AS1	5
ABCD1P4	4
ACAP3	4
ADAM8	4
AFG3L1P	4
AHNAK	4
ALKBH4	4
ALLC	4
ALPL	4
ANKRD20A11P	4
ANKRD20A21P	4
ARAP3	4
ARFGAP3	4
ARFGEF1-DT	4
ASH1L	4
ATP6V1F	4
ATP8A2P3	4
AVPR1B-DT	4
BASP1-AS1	4
BCKDK	4
BICD1-AS1	4
BIRC5	4
BRPF3-AS1	4
C10ORF90	4
C16ORF95	4
C18ORF32	4
C1ORF220	4
C6ORF58	4
CAHM	4
CAMP	4
CARD8	4
CARM1P1	4
CAV2	4
CBX7	4
CCT6P3	4
CD109	4
CD37	4
CEP95	4
CGB3	4
CGB5	4
CLEC19A	4
CLECL1P	4
CMAHP	4
COL14A1	4
CPB2	4
CSP1	4
CTDSP1	4
CYP2D6	4
CYP2U1-AS1	4
DDIT4-AS1	4
DDX12B	4
DNASE1	4
DSCAS	4
EDC3	4
EIF2B5-DT	4
ENPP7P14	4
ENPP7P8	4
EPCIP-AS1	4
EPM2AIP1	4
EVA1CP4	4
FAM27E3	4
FAM86EP	4
FANCD2P2	4
FCGBP	4
FGFR4	4
FGGY-DT	4
FRMD4A	4
GAA	4
GAPLINC	4
GDNF-AS1	4
GHRHR	4
GINS3	4
GMDS-DT	4
GNA15	4
GOLGA6GP	4
GOLGA8CP	4
GOLGA8DP	4
GOLGA8IP	4
GOLGA8UP	4
GOT1-DT	4
GP1BB	4
GTF2H4	4
GUCY2C-AS1	4
H2AZ2-DT	4
HCG18	4
HECTD2-AS1	4
HLA-C	4
HRG-AS1	4
HRNR	4
HS6ST1	4
