gene_symbol	n_variants
GTF2IP5	106
ITPR3	106
KCNJ6	106
KIF1B	106
LINC00299	106
LINC02882	106
LITAF	106
MYBPC1	106
MYPN	106
PDE4B	106
RERE	106
RNF32-DT	106
SLC24A4	106
TNRC18	106
AMPD3	105
ANKRD11	105
ANO2	105
CYFIP1	105
DMBT1	105
ERICH1	105
FAM53A	105
FMNL2	105
FOCAD	105
ITIH5	105
KCNS3	105
LAMC3	105
LRP2	105
METTL22	105
PDS5B	105
RGS2-AS1	105
SLC2A14	105
UBAP2	105
UST	105
ZFAT	105
C8ORF34	104
CACNA2D1	104
CCDC40	104
CNNM2	104
COL19A1	104
CSMD3	104
DNM3	104
DPY19L2	104
JAKMIP1	104
KDM4B	104
LILRB1	104
LINC02884	104
LINC02937	104
LIPC	104
MAFIP	104
MARK3	104
MYH10	104
NALCN-AS1	104
PACSIN2	104
PGM5P2	104
PWRN4	104
RADIL	104
SOS2	104
SRPK2	104
TPCN2	104
VAT1L	104
ACSS3	103
BLK	103
CELF4	103
CERS4	103
CLEC16A	103
DISC1	103
DST	103
EFCAB6	103
GPLD1	103
LINC02490	103
LIX1-AS1	103
PARVB	103
PDGFRL	103
PDS5A	103
PTPRQ	103
RIN3	103
TRPM6	103
WDR59	103
AKAP12	102
ATP10A	102
B3GALT1	102
CAPZB	102
COL13A1	102
DCLK1	102
EXD3	102
FHOD3	102
GLIS1	102
LIMCH1	102
LINC00598	102
LINC02580	102
LINC03000	102
MIA2	102
NR3C2	102
NVL	102
PHLDB2	102
PREX2	102
SHLD1	102
UNC79	102
ACSBG2	101
ADAM7-AS1	101
ARHGAP26	101
BAIAP2	101
CCDC57	101
CCDC88C	101
CLMP	101
CNIH3	101
CNTN1	101
DIRC3	101
DYM	101
FLT4	101
GRIK2	101
KDM2B	101
KIAA1671	101
LAMA3	101
LDLRAD3	101
LINC02177	101
NBEA	101
OCA2	101
OXR1	101
PCNX2	101
ROR1	101
SLC12A8	101
AVL9	100
CAST	100
CELF5	100
CORO2B	100
EXT1	100
GRM5	100
JMJD1C	100
LINC01234	100
LINC01301	100
LINC01811	100
PDE9A	100
PDXDC2P-NPIPB14P	100
PRKCZ	100
RNF220	100
SIPA1L2	100
SOX2-OT	100
TOP1MT	100
TRAK1	100
ZZEF1	100
ADAMTS16	99
ADGRB3	99
ARHGEF4	99
CCDC3	99
CERS3	99
EML1	99
EPHB2	99
FAM193A	99
FHAD1	99
FRYL	99
GALNT14	99
HSDL2	99
HSPG2	99
LINC00504	99
LINC00511	99
LINC01473	99
LINC02646	99
PRKCH	99
SP100	99
TESHL	99
ZKSCAN2-DT	99
ZNF609	99
CCBE1	98
CDC42BPA	98
COL14A1	98
DTD1	98
DUX4L16	98
DUX4L17	98
FAM66A	98
FBRSL1	98
NPLOC4	98
PDE3A	98
PWRN1	98
SLC7A7	98
SPMIP2	98
TMC2	98
VPS13C	98
ADGRB1	97
AHRR	97
ANK1	97
CFAP299	97
DGKI	97
FGF12	97
LINC01091	97
MYOM1	97
NECTIN3-AS1	97
OLFM2	97
POLE	97
PRSS1	97
ZNF536	97
ABCB5	96
CA10	96
COL21A1	96
CPAMD8	96
DNAH3	96
DOCK7	96
FNDC3B	96
MATN2	96
NSMCE2	96
RIMS2	96
SCHIP1	96
SFMBT2	96
TNRC6A	96
AK5	95
AKAP9	95
CATSPERD	95
CEP192	95
EVC2	95
KLF12	95
LAMA2	95
LINGO1	95
LRRTM4	95
MAP2K5	95
PHACTR3	95
PLEC	95
PPM1E	95
RAB11FIP4	95
RNF216	95
SLC9A9	95
SPTAN1	95
TCERG1L	95
TULP3	95
UNC13A	95
VAV1	95
ABLIM1	94
ADAMTS6	94
ADAMTS7P3	94
ANKRD26	94
CRISPLD2	94
DDX60L	94
DPY19L1P1	94
FAM107B	94
HYDIN	94
KCNT1	94
LARS2	94
LNC-LBCS	94
MGAT4C	94
NEBL	94
NTRK3	94
RUFY1	94
SLC24A3	94
SLC9B1P4	94
STEAP2-AS1	94
TGFBR3	94
TTC27	94
UBR1	94
ATP6V0A4	93
CFAP418-AS1	93
CMIP	93
CRYL1	93
DIAPH2	93
DSEL-AS1	93
ELAPOR1	93
ITGAE	93
KHDRBS2	93
LILRB2	93
NME7	93
NOTCH3	93
PTPRO	93
SSBP3	93
STPG4	93
TMEM132B	93
TMPRSS2	93
TRPM1	93
WWC1	93
ADAM22	92
AFAP1	92
APBA1	92
ARHGAP28	92
CNTNAP3	92
COL28A1	92
CROCC	92
DNAH2	92
GANC	92
HIBADH	92
IGHG4	92
JARID2	92
LINC02885	92
MCTP1	92
NBEAL1	92
OSBPL1A	92
RALYL	92
RAPGEF4	92
RCOR1	92
SLC8A1-AS1	92
SLCO1B3	92
SORBS2	92
SPEF2	92
TMC7	92
ACTN2	91
DHTKD1	91
DUX4L19	91
FAM186A	91
GPM6A	91
IPCEF1	91
ITSN1	91
LINC01900	91
MCTP2	91
MICAL2	91
MROH5	91
MUC12	91
NR2F2-AS1	91
PPEF2	91
SH3PXD2B	91
SLC22A24	91
SOX6	91
SSH2	91
SUCLG2	91
SV2C	91
TANGO6	91
TENM3-AS1	91
TNIK	91
UNC5C	91
ARFGEF2	90
AVEN	90
BRCA1	90
CEP104	90
CNOT6	90
COBL	90
FAT3	90
GCSH	90
GRM5P1	90
HRG-AS1	90
HTT	90
JPH3	90
LINC02814	90
MAST3	90
POLN	90
SAXO1	90
SDK1-AS1	90
SIL1	90
SWAP70	90
SYNPR	90
TMEM108	90
UMODL1	90
VAV3	90
WDFY1	90
AHCYL2	89
ATM	89
AXIN1	89
CCDC91	89
DCAF10	89
DISC1FP1	89
DMXL2	89
DUX4L33	89
FLNB	89
GUSBP5	89
HFM1	89
HLCS	89
ITGA9	89
LILRA2	89
LINC00907	89
LINC01122	89
LINC01933	89
NT5C2	89
RBM47	89
RRN3P2	89
RYR1	89
SLC27A6	89
SLC44A5	89
SLIT2	89
SPHKAP	89
SULT2B1	89
TBC1D8	89
TXNRD2	89
APBB1IP	88
CACNA1I	88
CCDC73	88
CHL1	88
CUX2	88
DHX57	88
DRAIC	88
EFCAB13	88
GPR107	88
ITPRID1	88
MBP	88
NEO1	88
NPHP4	88
PADI2	88
SAMD12	88
SLX4IP	88
SNX9	88
SPIRE1	88
TBC1D4	88
TSHR	88
CACNB4	87
CEP350	87
DDHD1-DT	87
DNM2	87
FBXO42	87
FHIP1A	87
FREM1	87
FRMD5	87
LINC01410	87
LINC02346	87
LRRK1	87
N4BP2	87
NEDD4	87
PPP2R2B	87
PRDM5	87
PTH2R	87
PTK2B	87
SCD5	87
SEC23B	87
SLC22A23	87
SNX31	87
SPG7	87
SPTBN4	87
TMCO3	87
UGGT2	87
ADA2	86
ALDH1L2	86
BICRA	86
CCDC102B	86
CNTNAP3B	86
CPA6	86
CPED1	86
DDX11	86
FN1	86
INPP5B	86
KIF6	86
LINC02196	86
LINC02267	86
MAP4K3	86
