sample_id	run_id	summary_axis	interpretation_label	count	status
ERR10619285	run_2026_06_02_124300	source_interpretation_label	coding_uninterpretable	492	source_metric_present
ERR10619285	run_2026_06_02_124300	source_interpretation_label	lof_or_missense_rare	1089	source_metric_present
ERR10619285	run_2026_06_02_124300	source_interpretation_label	lof_rare_clinically_supported	1	source_metric_present
ERR10619285	run_2026_06_02_124300	source_interpretation_label	noncoding_common_or_low_support	602411	source_metric_present
ERR10619285	run_2026_06_02_124300	source_interpretation_label	noncoding_uninterpretable	137547	source_metric_present
ERR10619285	run_2026_06_02_124300	source_interpretation_label	regulatory_or_transcript_rare	28179	source_metric_present
ERR10619285	run_2026_06_02_124300	variant_origin	coding	26922	source_metric_present
ERR10619285	run_2026_06_02_124300	variant_origin	noncoding	768137	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	coding_common_or_low_support	24878	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	coding_uninterpretable	507	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	lof_or_missense_rare	1061	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	lof_rare_clinically_supported	2	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	noncoding_common_or_low_support	662939	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	noncoding_uninterpretable	158857	source_metric_present
ERR10619309	run_2026_06_02_181024	source_interpretation_label	regulatory_or_transcript_rare	31157	source_metric_present
ERR10619309	run_2026_06_02_181024	variant_origin	coding	26448	source_metric_present
ERR10619309	run_2026_06_02_181024	variant_origin	noncoding	852953	source_metric_present
SRR12898354	run_2026_06_03_010030	source_interpretation_label	coding_common_or_low_support	25169	source_metric_present
SRR12898354	run_2026_06_03_010030	source_interpretation_label	coding_uninterpretable	1196	source_metric_present
SRR12898354	run_2026_06_03_010030	source_interpretation_label	lof_or_missense_rare	1121	source_metric_present
SRR12898354	run_2026_06_03_010030	source_interpretation_label	lof_rare_clinically_supported	0	source_metric_absent_filled_zero
SRR12898354	run_2026_06_03_010030	source_interpretation_label	noncoding_common_or_low_support	3344586	source_metric_present
SRR12898354	run_2026_06_03_010030	source_interpretation_label	noncoding_uninterpretable	1152270	source_metric_present
SRR12898354	run_2026_06_03_010030	source_interpretation_label	regulatory_or_transcript_rare	112242	source_metric_present
SRR12898354	run_2026_06_03_010030	variant_origin	coding	27486	source_metric_present
SRR12898354	run_2026_06_03_010030	variant_origin	noncoding	4609098	source_metric_present
