run_id	metric_name	stage_funnel_summary_col_name	metric_value
run_2026_06_01_203130	validation_candidates_rows	stage12_validation_rows	963426
run_2026_06_02_052302	raw_called_variants	raw_variant_count	912222
run_2026_06_02_052302	normalized_variants	normalized_variant_count	912222
run_2026_06_02_052302	annotated_variants_vcf	annotated_variant_count	909698
run_2026_06_02_052302	annotated_variants_tsv	stage08_total_variants	909698
run_2026_06_02_052302	rdgp_gene_evidence_seed_rows	rdgp_gene_evidence_seed_rows	43400
run_2026_06_02_052302	coding_candidates	coding_candidates	23648
run_2026_06_02_052302	noncoding_candidates	noncoding_candidates	883594
run_2026_06_02_052302	qc_flagged	qc_flagged	14125
run_2026_06_02_052302	splice_region_candidates	splice_region_candidates	2951
run_2026_06_02_052302	coding_interpreted_rows	stage09_coding_interpreted	26104
run_2026_06_02_052302	noncoding_interpreted_rows	stage10_noncoding_interpreted	883594
run_2026_06_02_052302	prioritized_variants_rows	stage11_prioritized_rows	909698
run_2026_06_02_052302	gene_variant_counts_rows	unique_gene_ids	43401
run_2026_06_02_052302	validation_candidates_rows	stage12_validation_rows	909698
run_2026_06_02_124300	raw_called_variants	raw_variant_count	797375
run_2026_06_02_124300	normalized_variants	normalized_variant_count	797375
run_2026_06_02_124300	annotated_variants_vcf	annotated_variant_count	795059
run_2026_06_02_124300	annotated_variants_tsv	stage08_total_variants	795059
run_2026_06_02_124300	rdgp_gene_evidence_seed_rows	rdgp_gene_evidence_seed_rows	42738
run_2026_06_02_124300	coding_candidates	coding_candidates	24437
run_2026_06_02_124300	noncoding_candidates	noncoding_candidates	768137
run_2026_06_02_124300	qc_flagged	qc_flagged	12615
run_2026_06_02_124300	splice_region_candidates	splice_region_candidates	3003
run_2026_06_02_124300	coding_interpreted_rows	stage09_coding_interpreted	26922
run_2026_06_02_124300	noncoding_interpreted_rows	stage10_noncoding_interpreted	768137
run_2026_06_02_124300	prioritized_variants_rows	stage11_prioritized_rows	795059
run_2026_06_02_124300	gene_variant_counts_rows	unique_gene_ids	42739
run_2026_06_02_124300	validation_candidates_rows	stage12_validation_rows	795059
run_2026_06_02_181024	raw_called_variants	raw_variant_count	881937
run_2026_06_02_181024	normalized_variants	normalized_variant_count	881937
run_2026_06_02_181024	annotated_variants_vcf	annotated_variant_count	879401
run_2026_06_02_181024	annotated_variants_tsv	stage08_total_variants	879401
run_2026_06_02_181024	rdgp_gene_evidence_seed_rows	rdgp_gene_evidence_seed_rows	43429
run_2026_06_02_181024	coding_candidates	coding_candidates	23953
run_2026_06_02_181024	noncoding_candidates	noncoding_candidates	852953
run_2026_06_02_181024	qc_flagged	qc_flagged	13609
run_2026_06_02_181024	splice_region_candidates	splice_region_candidates	2981
run_2026_06_02_181024	coding_interpreted_rows	stage09_coding_interpreted	26448
run_2026_06_02_181024	noncoding_interpreted_rows	stage10_noncoding_interpreted	852953
run_2026_06_02_181024	prioritized_variants_rows	stage11_prioritized_rows	879401
run_2026_06_02_181024	gene_variant_counts_rows	unique_gene_ids	43430
