sample_id	run_id	assay_type	run_classification	interpretation_domain	molecular_consequence	count
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	loss_of_function	0
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	missense	0
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	other_coding	681240
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	splice_relevant	3283
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	synonymous	14
ERR10619208	run_2026_05_30_151355	WES	median	noncoding	utr_regulatory	136821
ERR10619212	run_2026_05_30_214724	WES	q1	coding	loss_of_function	539
ERR10619212	run_2026_05_30_214724	WES	q1	coding	missense	11603
ERR10619212	run_2026_05_30_214724	WES	q1	coding	other_coding	397
ERR10619212	run_2026_05_30_214724	WES	q1	coding	splice_relevant	2413
ERR10619212	run_2026_05_30_214724	WES	q1	coding	synonymous	12197
ERR10619212	run_2026_05_30_214724	WES	q1	coding	utr_regulatory	0
ERR10619212	run_2026_05_30_214724	WES	q1	noncoding	loss_of_function	0
ERR10619212	run_2026_05_30_214724	WES	q1	noncoding	missense	0
ERR10619212	run_2026_05_30_214724	WES	q1	noncoding	other_coding	727365
ERR10619212	run_2026_05_30_214724	WES	q1	noncoding	splice_relevant	3203
ERR10619212	run_2026_05_30_214724	WES	q1	noncoding	synonymous	13
ERR10619212	run_2026_05_30_214724	WES	q1	noncoding	utr_regulatory	147787
ERR10619225	run_2026_05_31_091242	WES	q3	coding	loss_of_function	537
ERR10619225	run_2026_05_31_091242	WES	q3	coding	missense	11928
ERR10619225	run_2026_05_31_091242	WES	q3	coding	other_coding	422
ERR10619225	run_2026_05_31_091242	WES	q3	coding	splice_relevant	2354
ERR10619225	run_2026_05_31_091242	WES	q3	coding	synonymous	12579
ERR10619225	run_2026_05_31_091242	WES	q3	coding	utr_regulatory	0
ERR10619225	run_2026_05_31_091242	WES	q3	noncoding	loss_of_function	0
ERR10619225	run_2026_05_31_091242	WES	q3	noncoding	missense	0
ERR10619225	run_2026_05_31_091242	WES	q3	noncoding	other_coding	604517
ERR10619225	run_2026_05_31_091242	WES	q3	noncoding	splice_relevant	3301
ERR10619225	run_2026_05_31_091242	WES	q3	noncoding	synonymous	11
ERR10619225	run_2026_05_31_091242	WES	q3	noncoding	utr_regulatory	121986
ERR10619230	run_2026_06_01_004903	WES	q3	coding	loss_of_function	552
ERR10619230	run_2026_06_01_004903	WES	q3	coding	missense	11689
ERR10619230	run_2026_06_01_004903	WES	q3	coding	other_coding	398
ERR10619230	run_2026_06_01_004903	WES	q3	coding	splice_relevant	2253
ERR10619230	run_2026_06_01_004903	WES	q3	coding	synonymous	12056
ERR10619230	run_2026_06_01_004903	WES	q3	coding	utr_regulatory	0
ERR10619230	run_2026_06_01_004903	WES	q3	noncoding	loss_of_function	0
ERR10619230	run_2026_06_01_004903	WES	q3	noncoding	missense	0
ERR10619230	run_2026_06_01_004903	WES	q3	noncoding	other_coding	542003
ERR10619230	run_2026_06_01_004903	WES	q3	noncoding	splice_relevant	3124
ERR10619230	run_2026_06_01_004903	WES	q3	noncoding	synonymous	13
ERR10619230	run_2026_06_01_004903	WES	q3	noncoding	utr_regulatory	108966
ERR10619241	run_2026_06_02_052302	WES	q1	coding	loss_of_function	541
ERR10619241	run_2026_06_02_052302	WES	q1	coding	missense	11228
ERR10619241	run_2026_06_02_052302	WES	q1	coding	other_coding	381
ERR10619241	run_2026_06_02_052302	WES	q1	coding	splice_relevant	2303
ERR10619241	run_2026_06_02_052302	WES	q1	coding	synonymous	11651
ERR10619241	run_2026_06_02_052302	WES	q1	coding	utr_regulatory	0
ERR10619241	run_2026_06_02_052302	WES	q1	noncoding	loss_of_function	0
ERR10619241	run_2026_06_02_052302	WES	q1	noncoding	missense	0
ERR10619241	run_2026_06_02_052302	WES	q1	noncoding	other_coding	734256
ERR10619241	run_2026_06_02_052302	WES	q1	noncoding	splice_relevant	3117
ERR10619241	run_2026_06_02_052302	WES	q1	noncoding	synonymous	10
ERR10619241	run_2026_06_02_052302	WES	q1	noncoding	utr_regulatory	146211
ERR10619281	run_2026_05_27_233524	WES	median	coding	loss_of_function	514
ERR10619281	run_2026_05_27_233524	WES	median	coding	missense	11954
ERR10619281	run_2026_05_27_233524	WES	median	coding	other_coding	417
ERR10619281	run_2026_05_27_233524	WES	median	coding	splice_relevant	2434
ERR10619281	run_2026_05_27_233524	WES	median	coding	synonymous	12550
ERR10619281	run_2026_05_27_233524	WES	median	coding	utr_regulatory	0
ERR10619281	run_2026_05_27_233524	WES	median	noncoding	loss_of_function	0
ERR10619281	run_2026_05_27_233524	WES	median	noncoding	missense	0
ERR10619281	run_2026_05_27_233524	WES	median	noncoding	other_coding	649585
ERR10619281	run_2026_05_27_233524	WES	median	noncoding	splice_relevant	3323
ERR10619281	run_2026_05_27_233524	WES	median	noncoding	synonymous	13
ERR10619281	run_2026_05_27_233524	WES	median	noncoding	utr_regulatory	130764
ERR10619285	run_2026_06_02_124300	WES	median	coding	loss_of_function	504
ERR10619285	run_2026_06_02_124300	WES	median	coding	missense	11613
ERR10619285	run_2026_06_02_124300	WES	median	coding	other_coding	391
ERR10619285	run_2026_06_02_124300	WES	median	coding	splice_relevant	2347
ERR10619285	run_2026_06_02_124300	WES	median	coding	synonymous	12067
ERR10619285	run_2026_06_02_124300	WES	median	coding	utr_regulatory	0
ERR10619285	run_2026_06_02_124300	WES	median	noncoding	loss_of_function	0
ERR10619285	run_2026_06_02_124300	WES	median	noncoding	missense	0
ERR10619285	run_2026_06_02_124300	WES	median	noncoding	other_coding	636368
ERR10619285	run_2026_06_02_124300	WES	median	noncoding	splice_relevant	3190
ERR10619285	run_2026_06_02_124300	WES	median	noncoding	synonymous	14
ERR10619285	run_2026_06_02_124300	WES	median	noncoding	utr_regulatory	128565
ERR10619300	run_2026_05_27_172531	WES	median	coding	loss_of_function	467
ERR10619300	run_2026_05_27_172531	WES	median	coding	missense	11375
ERR10619300	run_2026_05_27_172531	WES	median	coding	other_coding	368
ERR10619300	run_2026_05_27_172531	WES	median	coding	splice_relevant	2280
ERR10619300	run_2026_05_27_172531	WES	median	coding	synonymous	11949
ERR10619300	run_2026_05_27_172531	WES	median	coding	utr_regulatory	0
ERR10619300	run_2026_05_27_172531	WES	median	noncoding	loss_of_function	0
ERR10619300	run_2026_05_27_172531	WES	median	noncoding	missense	0
ERR10619300	run_2026_05_27_172531	WES	median	noncoding	other_coding	588006
ERR10619300	run_2026_05_27_172531	WES	median	noncoding	splice_relevant	3091
ERR10619300	run_2026_05_27_172531	WES	median	noncoding	synonymous	14
