sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619203	run_2026_05_30_071639	stage_10_interpret_noncoding	24	success	2026-05-30T11:40:24+00:00	2026-05-30T11:40:48+00:00
ERR10619203	run_2026_05_30_071639	stage_11_prioritize_variants	21	success	2026-05-30T11:41:31+00:00	2026-05-30T11:41:52+00:00
ERR10619203	run_2026_05_30_071639	stage_12_validate_variants	21	success	2026-05-30T11:41:57+00:00	2026-05-30T11:42:18+00:00
ERR10619203	run_2026_05_30_071639	stage_13_write_summary	0	success	2026-05-30T11:42:23+00:00	2026-05-30T11:42:23+00:00
ERR10619207	run_2026_06_01_124134	stage_01_load_data	0	success	2026-06-01T12:41:34+00:00	2026-06-01T12:41:34+00:00
ERR10619207	run_2026_06_01_124134	stage_02_align_data	5201	success	2026-06-01T12:41:34+00:00	2026-06-01T14:08:15+00:00
ERR10619207	run_2026_06_01_124134	stage_03_process_bam	253	success	2026-06-01T14:08:15+00:00	2026-06-01T14:12:28+00:00
ERR10619207	run_2026_06_01_124134	stage_04_qc_aligned_reads	46	success	2026-06-01T14:12:28+00:00	2026-06-01T14:13:14+00:00
ERR10619207	run_2026_06_01_124134	stage_05_call_variants	9340	success	2026-06-01T14:13:14+00:00	2026-06-01T16:48:54+00:00
ERR10619207	run_2026_06_01_124134	stage_06_normalize_vcf	16	success	2026-06-01T16:48:54+00:00	2026-06-01T16:49:10+00:00
ERR10619207	run_2026_06_01_124134	stage_07_annotate_variants	1096	success	2026-06-01T16:49:11+00:00	2026-06-01T17:07:27+00:00
ERR10619207	run_2026_06_01_124134	stage_08_filter_and_partition	82	success	2026-06-01T17:07:30+00:00	2026-06-01T17:08:52+00:00
ERR10619207	run_2026_06_01_124134	stage_09_interpret_coding	1	success	2026-06-01T17:09:01+00:00	2026-06-01T17:09:02+00:00
ERR10619207	run_2026_06_01_124134	stage_10_interpret_noncoding	25	success	2026-06-01T17:09:04+00:00	2026-06-01T17:09:29+00:00
ERR10619207	run_2026_06_01_124134	stage_11_prioritize_variants	21	success	2026-06-01T17:10:14+00:00	2026-06-01T17:10:35+00:00
ERR10619207	run_2026_06_01_124134	stage_12_validate_variants	22	success	2026-06-01T17:10:40+00:00	2026-06-01T17:11:02+00:00
ERR10619207	run_2026_06_01_124134	stage_13_write_summary	0	success	2026-06-01T17:11:07+00:00	2026-06-01T17:11:07+00:00
ERR10619208	run_2026_05_30_151355	stage_01_load_data	0	success	2026-05-30T15:13:55+00:00	2026-05-30T15:13:55+00:00
ERR10619208	run_2026_05_30_151355	stage_02_align_data	6384	success	2026-05-30T15:13:55+00:00	2026-05-30T17:00:19+00:00
ERR10619208	run_2026_05_30_151355	stage_03_process_bam	314	success	2026-05-30T17:00:19+00:00	2026-05-30T17:05:33+00:00
ERR10619208	run_2026_05_30_151355	stage_04_qc_aligned_reads	52	success	2026-05-30T17:05:33+00:00	2026-05-30T17:06:25+00:00
ERR10619208	run_2026_05_30_151355	stage_05_call_variants	11183	success	2026-05-30T17:06:25+00:00	2026-05-30T20:12:48+00:00
ERR10619208	run_2026_05_30_151355	stage_06_normalize_vcf	20	success	2026-05-30T20:12:48+00:00	2026-05-30T20:13:08+00:00
ERR10619208	run_2026_05_30_151355	stage_07_annotate_variants	1266	success	2026-05-30T20:13:08+00:00	2026-05-30T20:34:14+00:00
ERR10619208	run_2026_05_30_151355	stage_08_filter_and_partition	95	success	2026-05-30T20:34:17+00:00	2026-05-30T20:35:52+00:00
ERR10619208	run_2026_05_30_151355	stage_09_interpret_coding	1	success	2026-05-30T20:36:03+00:00	2026-05-30T20:36:04+00:00
ERR10619208	run_2026_05_30_151355	stage_10_interpret_noncoding	29	success	2026-05-30T20:36:06+00:00	2026-05-30T20:36:35+00:00
ERR10619208	run_2026_05_30_151355	stage_11_prioritize_variants	26	success	2026-05-30T20:37:27+00:00	2026-05-30T20:37:53+00:00
ERR10619208	run_2026_05_30_151355	stage_12_validate_variants	26	success	2026-05-30T20:37:59+00:00	2026-05-30T20:38:25+00:00
ERR10619208	run_2026_05_30_151355	stage_13_write_summary	0	success	2026-05-30T20:38:31+00:00	2026-05-30T20:38:31+00:00
ERR10619212	run_2026_05_30_214724	stage_01_load_data	0	success	2026-05-30T21:47:24+00:00	2026-05-30T21:47:24+00:00
ERR10619212	run_2026_05_30_214724	stage_02_align_data	7599	success	2026-05-30T21:47:24+00:00	2026-05-30T23:54:03+00:00
ERR10619212	run_2026_05_30_214724	stage_03_process_bam	365	success	2026-05-30T23:54:03+00:00	2026-05-31T00:00:08+00:00
ERR10619212	run_2026_05_30_214724	stage_04_qc_aligned_reads	61	success	2026-05-31T00:00:08+00:00	2026-05-31T00:01:09+00:00
ERR10619212	run_2026_05_30_214724	stage_05_call_variants	12869	success	2026-05-31T00:01:09+00:00	2026-05-31T03:35:38+00:00
ERR10619212	run_2026_05_30_214724	stage_06_normalize_vcf	21	success	2026-05-31T03:35:39+00:00	2026-05-31T03:36:00+00:00
ERR10619212	run_2026_05_30_214724	stage_07_annotate_variants	1367	success	2026-05-31T03:36:01+00:00	2026-05-31T03:58:48+00:00
ERR10619212	run_2026_05_30_214724	stage_08_filter_and_partition	108	success	2026-05-31T03:58:51+00:00	2026-05-31T04:00:39+00:00
