Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D6_15,*,ALL,*,QUAL,*,0.834377,0.925494,0.45225699999999996,0.877577,186,1586,2809091522,2546949881.000000,0.000000,27786,.,.,13358.000000,7624.000000,,1.7520986358866737,23184,.,.,12051.000000,7119.000000,,1.692793931731985,4602,.,.,1307.000000,505.000000,,2.588118811881188,46949,.,.,33526.000000,13421.000000,,2.4980254824528725,23800,.,.,16680.000000,7120.000000,,2.342696629213483,1916,.,.,1395.000000,521.000000,,2.677543186180422,21233,.,.,15451.000000,5780.000000,,2.67318339100346
INDEL,D6_15,*,PASS,*,QUAL,*,0.834377,0.925494,0.45225699999999996,0.877577,186,1586,2809091522,2546949881.000000,0.000000,27786,.,.,13358.000000,7624.000000,,1.7520986358866737,23184,.,.,12051.000000,7119.000000,,1.692793931731985,4602,.,.,1307.000000,505.000000,,2.588118811881188,46949,.,.,33526.000000,13421.000000,,2.4980254824528725,23800,.,.,16680.000000,7120.000000,,2.342696629213483,1916,.,.,1395.000000,521.000000,,2.677543186180422,21233,.,.,15451.000000,5780.000000,,2.67318339100346
INDEL,D6_15,TS_boundary,ALL,*,QUAL,*,0.814286,0.756757,0.867857,0.784468,0,7,3033800718.000000,2546949881.000000,0.000000,70,.,.,39.000000,28.000000,,1.3928571428571428,57,.,.,30.000000,26.000000,,1.1538461538461537,13,.,.,9.000000,2.000000,,4.5,560,.,.,397.000000,163.000000,,2.4355828220858897,56,.,.,30.000000,26.000000,,1.1538461538461537,18,.,.,18.000000,0.000000,,,486,.,.,349.000000,137.000000,,2.5474452554744524
INDEL,D6_15,TS_boundary,PASS,*,QUAL,*,0.814286,0.756757,0.867857,0.784468,0,7,3033800718.000000,2546949881.000000,0.000000,70,.,.,39.000000,28.000000,,1.3928571428571428,57,.,.,30.000000,26.000000,,1.1538461538461537,13,.,.,9.000000,2.000000,,4.5,560,.,.,397.000000,163.000000,,2.4355828220858897,56,.,.,30.000000,26.000000,,1.1538461538461537,18,.,.,18.000000,0.000000,,,486,.,.,349.000000,137.000000,,2.5474452554744524
INDEL,D6_15,TS_contained,ALL,*,QUAL,*,0.8344280000000001,0.9259809999999999,0.0,0.8778239999999999,186,1579,2546949881.000000,2546949881.000000,0.000000,27716,.,.,13319.000000,7596.000000,,1.7534228541337546,23127,.,.,12021.000000,7093.000000,,1.6947694910475117,4589,.,.,1298.000000,503.000000,,2.5805168986083498,25642,.,.,18027.000000,7615.000000,,2.367301378857518,23744,.,.,16650.000000,7094.000000,,2.3470538483225263,1898,.,.,1377.000000,521.000000,,2.6429942418426102,0,.,.,0.000000,0.000000,,
INDEL,D6_15,TS_contained,PASS,*,QUAL,*,0.8344280000000001,0.9259809999999999,0.0,0.8778239999999999,186,1579,2546949881.000000,2546949881.000000,0.000000,27716,.,.,13319.000000,7596.000000,,1.7534228541337546,23127,.,.,12021.000000,7093.000000,,1.6947694910475117,4589,.,.,1298.000000,503.000000,,2.5805168986083498,25642,.,.,18027.000000,7615.000000,,2.367301378857518,23744,.,.,16650.000000,7094.000000,,2.3470538483225263,1898,.,.,1377.000000,521.000000,,2.6429942418426102,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,*,ALL,*,QUAL,*,0.807171,0.940333,0.64222,0.8686780000000001,14,143,2809091522,2546949881.000000,0.000000,5606,.,.,3109.000000,1783.000000,,1.743690409422322,4525,.,.,2470.000000,1670.000000,,1.4790419161676647,1081,.,.,639.000000,113.000000,,5.654867256637168,13444,.,.,6937.000000,4983.000000,,1.3921332530604054,4523,.,.,2534.000000,1668.000000,,1.5191846522781776,287,.,.,193.000000,88.000000,,2.1931818181818183,8634,.,.,4210.000000,3227.000000,,1.3046172916021073
INDEL,I16_PLUS,*,PASS,*,QUAL,*,0.807171,0.940333,0.64222,0.8686780000000001,14,143,2809091522,2546949881.000000,0.000000,5606,.,.,3109.000000,1783.000000,,1.743690409422322,4525,.,.,2470.000000,1670.000000,,1.4790419161676647,1081,.,.,639.000000,113.000000,,5.654867256637168,13444,.,.,6937.000000,4983.000000,,1.3921332530604054,4523,.,.,2534.000000,1668.000000,,1.5191846522781776,287,.,.,193.000000,88.000000,,2.1931818181818183,8634,.,.,4210.000000,3227.000000,,1.3046172916021073
INDEL,I16_PLUS,TS_boundary,ALL,*,QUAL,*,0.608696,0.8235290000000001,0.854701,0.7,0,1,3033800718.000000,2546949881.000000,0.000000,23,.,.,11.000000,9.000000,,1.2222222222222223,14,.,.,6.000000,7.000000,,0.8571428571428571,9,.,.,5.000000,2.000000,,2.5,117,.,.,63.000000,42.000000,,1.5,14,.,.,6.000000,7.000000,,0.8571428571428571,3,.,.,2.000000,1.000000,,2.0,100,.,.,55.000000,34.000000,,1.6176470588235294
INDEL,I16_PLUS,TS_boundary,PASS,*,QUAL,*,0.608696,0.8235290000000001,0.854701,0.7,0,1,3033800718.000000,2546949881.000000,0.000000,23,.,.,11.000000,9.000000,,1.2222222222222223,14,.,.,6.000000,7.000000,,0.8571428571428571,9,.,.,5.000000,2.000000,,2.5,117,.,.,63.000000,42.000000,,1.5,14,.,.,6.000000,7.000000,,0.8571428571428571,3,.,.,2.000000,1.000000,,2.0,100,.,.,55.000000,34.000000,,1.6176470588235294
INDEL,I16_PLUS,TS_contained,ALL,*,QUAL,*,0.8079890000000001,0.9407469999999999,0.0,0.8693280000000001,14,142,2546949881.000000,2546949881.000000,0.000000,5583,.,.,3098.000000,1774.000000,,1.7463359639233371,4511,.,.,2464.000000,1663.000000,,1.481659651232712,1072,.,.,634.000000,111.000000,,5.711711711711712,4793,.,.,2719.000000,1748.000000,,1.555491990846682,4509,.,.,2528.000000,1661.000000,,1.5219747140276942,284,.,.,191.000000,87.000000,,2.1954022988505746,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,PASS,*,QUAL,*,0.8079890000000001,0.9407469999999999,0.0,0.8693280000000001,14,142,2546949881.000000,2546949881.000000,0.000000,5583,.,.,3098.000000,1774.000000,,1.7463359639233371,4511,.,.,2464.000000,1663.000000,,1.481659651232712,1072,.,.,634.000000,111.000000,,5.711711711711712,4793,.,.,2719.000000,1748.000000,,1.555491990846682,4509,.,.,2528.000000,1661.000000,,1.5219747140276942,284,.,.,191.000000,87.000000,,2.1954022988505746,0,.,.,0.000000,0.000000,,
