SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619212	run_2026_05_30_214724	q1	overlay_tiered_gene_output	ERR10619212_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_214724/logs/stage12_exploration/unique_genes/ERR10619212_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619212/sql_outputs/overlay_tiered_gene_outputs/ERR10619212_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	904	copied without renaming or content modification
ERR10619225	run_2026_05_31_091242	q3	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/figures	mkdir	ok	NA	directory ensured
ERR10619225	run_2026_05_31_091242	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/tables	mkdir	ok	NA	directory ensured
ERR10619225	run_2026_05_31_091242	q3	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619225	run_2026_05_31_091242	q3	figure	ERR10619225_f5_interoperability_substrates.png	results/run_2026_05_31_091242/figures/ERR10619225_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/figures/ERR10619225_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619225	run_2026_05_31_091242	q3	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619225	run_2026_05_31_091242	q3	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	516	subset by exact run_id
ERR10619225	run_2026_05_31_091242	q3	overlay_tiered_gene_output	ERR10619225_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_31_091242/logs/stage12_exploration/unique_genes/ERR10619225_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/sql_outputs/overlay_tiered_gene_outputs/ERR10619225_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619225	run_2026_05_31_091242	q3	overlay_tiered_gene_output	ERR10619225_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_31_091242/logs/stage12_exploration/unique_genes/ERR10619225_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/sql_outputs/overlay_tiered_gene_outputs/ERR10619225_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	45	copied without renaming or content modification
ERR10619225	run_2026_05_31_091242	q3	overlay_tiered_gene_output	ERR10619225_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_31_091242/logs/stage12_exploration/unique_genes/ERR10619225_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619225/sql_outputs/overlay_tiered_gene_outputs/ERR10619225_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	939	copied without renaming or content modification
